##BLOCKS= 1          
Plate:	Plate#1	1.3	PlateFormat	FLEX	Fluorescence	TRUE	Raw	FALSE	79	120	1.52				1	525	1	12	96	485	Automatic	515			6	Medium			1	8	TimeTags	
	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12		
		3662.118	3429.655	3822.04	3097.783	2843.992	2811.202	2826.067	3360.332	3667.69	3389	3660.648	3737.153		
		10.4726	6.775	6.799	6.7908	6.6952	6.74	6.8254	6.8002	6.7494	6.751	6.7018	6.7096		
		3284.557	3569.729	3757.095	3187.38	2989.772	3090.917	2977.264	3375.138	3748.607	4290.006	3858.382	3916.121		
		10.623	6.926	6.9494	6.9412	6.8562	6.8904	6.9754	6.9488	6.8982	6.9222	6.8518	6.8592		
		3018.005	2971.528	3206.101	3284.694	3220.16	3166.58	3119.363	3313.002	3540.91	3895.908	3405.187	3585.783		
		10.785	7.0744	7.1096	7.101	7.0544	7.0506	7.1256	7.109	7.0584	7.0806	7.0562	7.0096		
		2864.892	2835.906	3051.889	3533.199	2982.773	3362.364	3675.271	3488.098	3893.71	3923.3	3989.333	3713.474		
		10.9432	7.305	7.2596	7.2512	7.2048	7.2022	7.2876	7.2698	7.2182	7.2306	7.2122	7.1696		
		2996.953	3107.429	3105.489	3027.737	3025.705	3284.958	3599.904	3530.27	3406.265	3761.353	4097.105	3416.581		
		11.0936	7.4656	7.41	7.4016	7.3648	7.431	7.4358	7.4192	7.439	7.4418	7.3634	7.3208		
		2944.405	3642.394	3254.831	3191.71	3446.922	3268.641	3721.093	3542.146	3961.508	3903.01	4097.898	3467.398		
		11.2636	7.6152	7.5956	7.5954	7.5148	7.5908	7.5862	7.5796	7.5986	7.601	7.5222	7.5104		
		2897.646	2892.82	3578.407	3126.206	3275.695	3405.493	3473.5	3635.664	3934.236	4302.717	4443.175	4169.569		
		11.4244	7.7754	7.75	7.7518	7.6652	7.741	7.7962	7.7794	7.7486	7.751	7.6722	7.6704		
		2876.024	3257.773	3036.321	3157.093	3379.147	3461.963	3750.139	3451.247	4042.991	4456.15	4431.191	3844.125		
		
	36.99	11.834	8.1158	8.1704	8.152	8.1644	8.0814	8.1468	8.1316	8.0998	8.0814	8.1154	8.072		
		3707.643	3429.166	3802.684	3095.667	2872.921	2828.354	2868.177	3361.239	3697.638	3427.382	3669.024	3781.551		
		11.9842	8.3032	8.3208	8.3124	8.3274	8.2314	8.3066	8.2798	8.2714	8.2326	8.275	8.2424		
		3259.138	3547.653	3811.678	3211.824	2930.699	3089.593	3007.75	3267.86	3760.982	4270.432	3880.094	3947.061		
		12.1356	8.4558	8.481	8.4724	8.4758	8.419	8.4568	8.4302	8.4998	8.4302	8.433	8.3912		
		3035.709	2984.433	3159.948	3271.417	3186.272	3167.645	3150.459	3250.154	3628.177	3893.86	3439.074	3550.876		
		12.3446	8.6062	8.721	8.6542	8.6262	8.582	8.6072	8.5902	8.6494	8.5818	8.5834	8.5712		
		2849.721	2854.918	3067.029	3527.795	2955.321	3366.602	3677.991	3515.302	3865.836	3929.733	3971.554	3771.376		
		12.495	8.7662	8.8714	8.813	8.787	8.7322	8.7936	8.7736	8.801	8.7322	8.7338	8.7216		
		2966.875	3076.899	3113.729	3045.885	3092.049	3262.759	3613.142	3504.712	3495.682	3787.685	4027.692	3400.375		
		12.655	8.9182	9.0312	8.9736	8.9362	8.8924	8.9476	8.9308	8.9606	8.8922	8.8954	8.8736		
		2992.813	3709.365	3246.509	3183.363	3441.039	3272.394	3686.208	3523.284	3933.709	3897.685	4081.314	3493.501		
		12.8158	9.0768	9.1814	9.123	9.1146	9.0522	9.1076	9.0908	9.1102	9.0446	9.0438	9.032		
		2845.45	2864.73	3593.96	3177.951	3266.571	3454.139	3404.229	3617.569	3926.771	4301.311	4474.908	4079.818		
		12.9654	9.2366	9.333	9.2734	9.2766	9.2028	9.2676	9.2408	9.2606	9.203	9.2442	9.1816		
		2859.567	3279.652	3058.484	3164.567	3371.474	3481.204	3763.708	3479.297	3997.707	4487.305	4450.797	3800.869		
		
