,Plate Read,Concentration,Compound,Avg Fluorescence,Standard Deviation,Avg Time
855,36,10^-11,Compound A,3028.88775,171.3073783337542,54.09935
856,36,10^-11,Compound B,3528.2065000000002,223.62902374021058,54.04215000000001
857,36,10^-11,Compound C,4388.41075,176.00645031811732,54.04455
858,36,10^-12,Compound A,3421.4545000000003,290.90968566950534,53.93175
859,36,10^-12,Compound B,3361.2455,396.9255229624321,53.88225
860,36,10^-12,Compound C,4554.46125,308.6475415738486,53.89415
861,36,Control,Compound A,3392.2439999999997,253.272903829058,53.768950000000004
862,36,Control,Compound B,3286.49475,398.3595445368236,53.7146
863,36,Control,Compound C,4098.993,186.73114599693446,53.72225
864,37,10^-06,Compound A,7829.987499999999,1348.5555736946903,56.495200000000004
865,37,10^-06,Compound B,10854.90075,471.6720053302276,56.41160000000001
866,37,10^-06,Compound C,12843.387499999999,1350.2028269260336,56.44265
867,37,10^-07,Compound A,5142.7435000000005,557.1322761771487,56.309149999999995
868,37,10^-07,Compound B,10277.5685,503.62656126307394,56.254749999999994
869,37,10^-07,Compound C,10287.703000000001,1251.9879393819965,56.285650000000004
870,37,10^-08,Compound A,4818.55025,1505.017086090913,56.13165
871,37,10^-08,Compound B,5358.784750000001,271.688002938856,56.08675
872,37,10^-08,Compound C,5866.0255,323.7637789505347,56.08165
873,37,10^-09,Compound A,3088.05925,171.79809938486423,55.973600000000005
874,37,10^-09,Compound B,3852.64425,341.122968779471,55.91695
875,37,10^-09,Compound C,5153.664999999999,327.6955902185437,55.91415
876,37,10^-10,Compound A,3122.37025,472.9004609579606,55.81845
877,37,10^-10,Compound B,3721.702,448.91548754377425,55.76390000000001
878,37,10^-10,Compound C,4766.72225,200.91099930130855,55.76405
879,37,10^-11,Compound A,3023.87225,151.57739964866298,55.667950000000005
880,37,10^-11,Compound B,3526.9955,223.92359092109757,55.610600000000005
881,37,10^-11,Compound C,4397.88175,150.08547544511666,55.60615
882,37,10^-12,Compound A,3375.09375,264.69857091966884,55.50895
883,37,10^-12,Compound B,3366.015,387.6213763051096,55.421549999999996
884,37,10^-12,Compound C,4551.904750000001,323.4943038368789,55.44845
885,37,Control,Compound A,3398.42275,236.2786638856342,55.31060000000001
886,37,Control,Compound B,3291.54975,368.326489986236,55.262950000000004
887,37,Control,Compound C,4055.9044999999996,200.0214829370496,55.29815
888,38,10^-06,Compound A,7809.42625,1375.20594606077,57.95565
889,38,10^-06,Compound B,10823.923499999999,500.951144781314,57.9081
890,38,10^-06,Compound C,12833.355500000001,1372.066679675465,57.90905
891,38,10^-07,Compound A,5211.832,578.0716243079276,57.79785
892,38,10^-07,Compound B,10248.07175,544.1026343301194,57.7554
893,38,10^-07,Compound C,10393.36225,1263.2430949254858,57.75325
894,38,10^-08,Compound A,4840.874,1537.246727749107,57.645250000000004
895,38,10^-08,Compound B,5462.51225,263.9613163367901,57.56784999999999
896,38,10^-08,Compound C,5961.758,325.7365382278485,57.60305
897,38,10^-09,Compound A,3067.85675,153.32259295219387,57.46040000000001
